A02322154;R1-286;DISTRIBUCIONES ELÉCTRICAS DE POZUELO, S.A.
B04158739;R1-175;DISTRIBUCIONES ELECTRICAS PORTILLO SL
B18045666;R1-036;DISTRIBUIDORA ELECTRICA BERMEJALES SL
B02261667;R1-200;DISTRIBUIDORA ELECTRICA BRAVO SAEZ SL
B29224003;R1-112;DISTRIBUIDORA ELECTRICA DE ARDALES SL
A02321768;R1-287;DISTRIBUIDORA ELÉCTRICA DE CASAS DE LAZARO, S.A.
B29894789;R1-122;DISTRIBUIDORA ELECTRICA DE GAUCIN SL
B41030891;R1-165;DISTRIBUIDORA ELECTRICA DE GRANJA DE TORREHERMOSA SL
B31665946;R1-207;DISTRIBUIDORA ELECTRICA ISABA SL
B22215651;R1-350;DISTRIBUIDORA ELECTRICA VALLE DE ANSO SL
A21002142;R1-092;ELECTRA CASTILLEJENSE SA
B11382769;R1-174;ELECTRA CONILENSE, S.L. UNIPERSONAL
B36302982;R1-073;ELECTRA DE BARCIADEMERA SL
B23375785;R1-134;ELECTRA LA LOMA SL
B71308803;R1-232;ELECTRA VALDIZARBE DISTRIBUCIÓN, S.L.U.
B02172948;R1-195;ELECTRICA ABENGIBRENSE DISTRIBUCION S.L
A02000164;R1-024;COOPERATIVA ELECTRICA ALBORENSE SA
B24258220;R1-124;ELECTRICA CAMPOSUR SL
A32025199;R1-290;ELECTRICA DE ALBERGUERIA SA
B22216683;R1-156;ELECTRICA DE DURRO S.L.
B06355846;R1-357;ELECTRICA DE MALCOCINADO SL
B37336849;R1-215;ELECTRICA DEL HUEBRA SL
B91068429;R1-221;ELECTRICA GILENA SLU
B18000224;R1-262;ELECTRICA GUADALFEO SL
A14004006;R1-097;ELECTRICA LOS PELAYOS SA
B13304860;R1-217;ELECTRICA MESTANZA RV SL
B37336831;R1-181;ELECTRICA MORO BENITO SL
B18057208;R1-136;ELECTRICA SAN GREGORIO SL
B18471946;R1-229;ELECTRICA SAN MARCOS SL
B06280390;R1-132;ELECTRICA SAN SERVAN SL
B41904657;R1-166;ELECTRICA SANTA CLARA SL
B06281497;R1-255;ELECTRICAS SANTA LEONOR SL
B98039928;R1-346;ELECTRICAS TUEJAR SL
B04269908;R1-148;ELECTRICIDAD PASTOR SL
A13000385;R1-100;ELECTRO DISTRIBUCION DE ALMODOVAR DEL CAMPO SA
B32397358;R1-359;ELECTRO MANZANEDA SL
B24015323;R1-101;ELECTRO MOLINERA DE VALMADRIGAL SL
B10226447;R1-256;EMDECORIA . SL
B23364318;R1-238;EMILIO PADILLA E HIJOS SL
B14354898;R1-167;EMPRESA ELECTRICA MARTIN SILVA POZO SL
A41038571;R1-102;EMPRESA ELECTRICIDAD SAN JOSE SA
A10193803;R1-054;ENERGIA DE MIAJADAS SA
B72102205;R1-098;ENERGIA ELECTRICA DE OLVERA S.L.U
B41575994;R1-246;FELIPE BLAZQUEZ SL
B04135463;R1-110;GRACIA UNZUETA HIDALGO E HIJOS SL
A78924750;R1-141;HELIODORA GOMEZ SA
B46395570;R1-306;HELIODORO CHAFER SL
B53260618;R1-252;HEREDEROS DE CARLOS OLTRA SL
B14010656;R1-223;HEREDEROS DE EMILIO GAMERO SL
B10226306;R1-137;HEREDEROS DE GARCIA BAZ SL
B16145757;R1-067;HERMANOS CABALLERO REBOLLO SL
B04261632;R1-237;MONTESLUZ DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA SL
B37333796;R1-173;HIDROELECTRICA DOMINGUEZ SL
B37336732;R1-129;HIDROELECTRICA GOMEZ SLU
B18472597;R1-168;HIDROELECTRICA SAN BUENAVENTURA SL
B05150776;R1-169;HIDROELECTRICA SANTA TERESA SL
B05110150;R1-104;HIDROELECTRICA VIRGEN DE CHILLA SL
A47008941;R1-116;HIJO DE JORGE MARTIN SA
B37276490;R1-170;HIJOS DE CASIANO SANCHEZ SL
B06339923;R1-257;HIJOS DE FRANCISCO ESCASO SL
B06339162;R1-050;HIJOS DE JACINTO GUILLEN DISTRIBUIDORA ELECTRICA SL
B53212627;R1-266;HIJOS DE MANUEL PERLES VICENS SL
B04159232;R1-146;JOSE FERRE SEGURA E HIJOS SL
B53254066;R1-118;JOSEFA GIL COSTA SL
B53210159;R1-249;JUAN Y FRANCISCO ESTEVE MAS SL
B53264891;R1-183;LA ELECTRICA DE VALL DE EBO SL
B06690481;R1-105;LA ERNESTINA ENERGIA S.L.
B20719738;R1-313;LEINTZARGI . SL
A06011068;R1-142;LUIS RANGEL HERMANOS SA
B12545679;R1-269;MANUEL ROBRES CELADES SL
B20665204;R1-061;OÑARGI SL
B04310546;R1-214;RODALEC SL
B11715539;R1-057;ROMERO CANDAU SL
B26305888;R1-227;RUIZ DE LA TORRE SL
B97074306;R1-320;SERVICIOS Y SUMINISTROS MUNICIPALES ARAS SL
B04294682;R1-138;SIERRO DE ELECTRICIDAD, S. L.
B28050243;R1-121;SOCIEDAD ELECTRICA NUESTRA SEÑORA DE LOS DESAMPARADOS SL
B22242333;R1-338;SUMINISTROS ELECTRICOS ISABENA SL
B20719613;R1-278;TOLARGI SL
B15019938;R1-082;SUCESORES DE MANUEL LEIRA, SL
B15115199;R1-295;INDUSTRIAL BARCALESA, SL
B15541329;R1-270;ELECTRA DO FOXO
B15639727;R1-234;ELECTRICA DE CASTRO CALDELAS
B15654569;R1-186;ELECTRA DE ZAS, SL
B36303626;R1-075;ELECTRICA DE GRES, SL
B36350361;R1-211;ELECTRA CUNTIENSE, SL
B15354236;R1-039;HIDROELÉCTRICA DE LARACHA, S.L.
A26018184;R1-045;ELECTRA DE AUTOL, S.A.
B32011173;R1-069;DISTRIBUIDORA ELÉCTRICA DE MELÓN, S.L.
B15494198;R1-074;ELECTRICA DE CABAÑAS
B18352203;R1-088;ELECTRICA DE CANILES
B53266821;R1-111;AURORA GINER REIG S.L.
B23379464;R1-113;ELECTRA SIERRA MAGINA S.L.
B04297966;R1-126;ELECTRICIDAD HIJATE S.L.
B06230809;R1-140;DISTRIBUIDORA ELECTRICA CARRION S.L.
B11000759;R1-201;ELECTRICA NRA SRA DE LOS SANTOS SL
B14048516;R1-243;HIDROELÉCTRICA EL CERRAJÓN S.L.
B27249911;R1-244;HIDROELÉCTRICA JOSÉ MATANZA GARCÍA, S.L.
B02261535;R1-245;DISTRIBUCION Y ELECTRICA CARIDAD E ILDEFONSO, S.L
B41117979;R1-250;LUZ ELECTRICA LOS MOLARES, SL
B27029503;R1-267;ELECTRICA DE VER
B15749260;R1-277;DISTRIBUIDORA ELECTRICA NIEBLA
B97308522;R1-319;LA SINERQUENSE SLU
B31721301;R1-339;ELEKTRA URDAZUBI SL
B22387591;R1-348;ELECTRO-HARINERA BELSETANA DISTRIBUCIÓN, SLU
B18326785;R1-198;ELECTRICA SAGRADO CORAZON DE JESUS S.L
B54859368;R1-159;ELECTRICA DE BIAR DISTRIBUCIÓN, S.L.U.
A41002809;R1-044;COMPAÑIA DE ELECTRICIDAD DEL CONDADO S.A.
B12595724;R1-352;ELECTRICAS HIDROBESORA SL
B98145303;R1-358;ELECTRICAS DE VALLANCA, S.L.
B14273296;R1-086;CENTRAL ELECTRICA SAN FRANCISCO, S.L.
B53214227;R1-089;DISTRIBUIDORA ELECTRICA DE  RELLEU S.L.
B23375553;R1-094;ELECTRA SAN CRISTOBAL
A13001474;R1-096;ELECTRICA LA VICTORIA DE FUENCALIENTE S.A.
B53231189;R1-117;JOSE RIPOLL ALBANELL S.L.
B41907098;R1-127;JUAN N. DIAZ GALVEZ Y HERMANOS S.L.
A18000059;R1-171;SOCIEDAD ELECTRICA JEREZ DEL MARQUESADO
B11694577;R1-177;ELECTRICA LOS LAURELES S.L.
B18472639;R1-178;ELECTRICA SAN JOSE OBRERO
A14004998;R1-203;VARGAS Y COMPAÑIA ELECTRO HARINERA SAN RAMON S.A.
B32159089;R1-220;ELECTRICA DE CANTOÑA S.L.
B31613409;R1-254;ELECTRA SALTEA S.L.U.
